sportName,sportId,futures_id,bookmaker,id,start_date,home_team,away_team,typeId,orderOdds,minOdds,maxOdds,pauseIt
ATP - Futures,30156,type_wimbledon_winner_2025-sport_tennis-league_atp,Pinnacle,trcxl5secokrxy2vd5k3rq1xacujyrv7,,Wimbledon,Winner 2025,13001,Jannik Sinner;Carlos Alcaraz;Novak Djokovic;Alexander Zverev;Taylor Fritz;Joao Fonseca;Daniil Medvedev;Holger Rune;Jack Draper;Karen Khachanov;Ugo Humbert;Matteo Berrettini;Tomas Machac;Miomir Kecmanovic;Gael Monfils;Lorenzo Musetti;Tommy Paul;Arthur Fils;Alex Michelsen;Francisco Cerundolo;Jakub Mensik;Marcos Giron;Lorenzo Sonego;Alejandro Davidovich Fokina;Benjamin Bonzi;Nuno Borges;Corentin Moutet;Fabian Marozsan;Tristan Schoolkate;Jacob Fearnley;Aleksandar Vukic;Alejandro Tabilo;Alex De Minaur;Alexander Bublik;Alexandre Muller;Alexei Popyrin;Andrey Rublev;Brandon Nakashima;Casper Ruud;Christopher Eubanks;Felix Auger-Aliassime;Flavio Cobolli;Frances Tiafoe;Giovanni Mpetshi Perricard;Grigor Dimitrov;Hubert Hurkacz;Jiri Lehecka;Richard Gasquet;Sebastian Baez;Sebastian Korda;Stefanos Tsitsipas;Tallon Griekspoor;Tomas Martin Etcheverry;Ben Shelton,105,20000,true
WTA - Futures,30152,type_wimbledon_winner_2025-sport_tennis-league_wta,Pinnacle,g6c9m0yjoot24xj22tv8ramnes5o2jgt,,Wimbledon,Winner 2025,13001,Iga Swiatek;Aryna Sabalenka;Coco Gauff;Mirra Andreeva;Qinwen Zheng;Jasmine Paolini;Elena Rybakina;Jelena Ostapenko;Karolina Muchova;Madison Keys;Elina Svitolina;Paula Badosa;Diana Shnaider;Emma Navarro;Naomi Osaka;Danielle Collins;Jessica Pegula;Marta Kostyuk;Ons Jabeur;Barbora Krejcikova;Daria Kasatkina;Ekaterina Alexandrova;Marketa Vondrousova;Peyton Stearns;Elise Mertens;Linda Noskova;Liudmila Samsonova;Ashlyn Krueger;Elina Avanesyan;Magda Linette;Alexandra Eala;Amanda Anisimova;Anna Kalinskaya;Beatriz Haddad Maia;Clara Tauson;Emma Raducanu;Maria Sakkari;Olga Danilovic;Sofia Kenin;Veronika Kudermetova;Anastasia Pavlyuchenkova;Caroline Garcia;Magdalena Frech;Victoria Azarenka;Rebecca Sramkova;Leylah Fernandez;Yulia Putintseva;Caroline Wozniacki;Katie Boulter;Lois Boisson,105,20000,true
FIFA - Club World Cup - Futures,39997,type_championship_winner-sport_soccer-league_fifa_-_club_world_cup,Pinnacle,slf6d4rxx562lwayxl6ztlp1qoz7kaam,,FIFA - Club World Cup,Winner,13001,Al Ahly FC;Al Ain FC;Al Hilal FC;Auckland City;Botafogo FR;BV Borussia 09 Dortmund;CA Boca Juniors;CA River Plate;CF Monterrey;CF Pachuca;Chelsea FC;Club Atlético de Madrid;Club Internacional de Fútbol Miami;CR Flamengo;Esperance Tunis;FC Bayern München;FC Internazionale Milano;FC Porto;FC Salzburg;Fluminense FC;Juventus FC;Los Angeles FC;Mamelodi Sundowns;Manchester City FC;Paris Saint-Germain FC;Real Madrid CF;SE Palmeiras;Seattle Sounders FC;SL Benfica;Ulsan HD FC;Urawa Red Diamonds;Wydad Casablanca,105,20000,true
MLB - Futures,30003,type_world_series_winner-sport_baseball-league_mlb,DraftKings,nj7zseojff4kf015z2cms273zzw7bb3z,,MLB,World Series Winner,13001,Los Angeles Dodgers;Atlanta Braves;New York Yankees;New York Mets;Philadelphia Phillies;Houston Astros;Baltimore Orioles;Boston Red Sox;Arizona Diamondbacks;Minnesota Twins;Texas Rangers;San Diego Padres;Seattle Mariners;Kansas City Royals;Chicago Cubs;Detroit Tigers;Cleveland Guardians;Milwaukee Brewers;Tampa Bay Rays;Toronto Blue Jays;San Francisco Giants;Pittsburgh Pirates;St. Louis Cardinals;Los Angeles Angels;Oakland Athletics;Miami Marlins;Chicago White Sox;Colorado Rockies;Washington Nationals,105,20000,false
MLB - Futures,30003,type_national_league_winner-sport_baseball-league_mlb,DraftKings,46n3zlojhk46nuoz2z5vcgb221u37b56,,MLB,National League Winner,13001,Los Angeles Dodgers;Atlanta Braves;Philadelphia Phillies;New York Mets;Arizona Diamondbacks;San Diego Padres;Chicago Cubs;Milwaukee Brewers;San Francisco Giants;St. Louis Cardinals;Pittsburgh Pirates;Cincinnati Reds;Colorado Rockies;Miami Marlins;Washington Nationals,105,20000,false
MLB - Futures,30003,type_american_league_winner-sport_baseball-league_mlb,DraftKings,0grmbkqs7oyl8fh5nkbfv6sobsep2ttg,,MLB,American League Winner,13001,New York Yankees;Baltimore Orioles;Houston Astros;Boston Red Sox;Texas Rangers;Minnesota Twins;Seattle Mariners;Detroit Tigers;Kansas City Royals;Cleveland Guardians;Tampa Bay Rays;Toronto Blue Jays;Oakland Athletics;Los Angeles Angels;Chicago White Sox,105,20000,false
MLB - Futures,30003,type_american_league_mvp-sport_baseball-league_mlb,DraftKings,f9rzk7ocjjak983lltrhjqtildo9khx2,,MLB,American League MVP,13002,Aaron Judge;Bobby Witt Jr.;Gunnar Henderson;Vladimir Guerrero Jr.;Yordan Alvarez;Jose Ramirez;Mike Trout;Julio Rodriguez;Corey Seager;Rafael Devers;Jarren Duran;Adley Rutschman;Riley Greene;Royce Lewis;Wyatt Langford;Alex Bregman;Anthony Santander;Brent Rooker;Carlos Correa;Jose Altuve;Steven Kwan;Bo Bichette;Garrett Crochet;Luis Robert Jr.;Wilyer Abreu;Adolis Garcia;Cody Bellinger;Junior Caminero;Lawrence Butler;Marcus Semien;Randy Arozarena;Vinnie Pasquantino;Byron Buxton;Cal Raleigh;Christian Walker;Jazz Chisholm Jr.;Josh Jung;Kerry Carpenter;Tarik Skubal;Triston Casas;Tyler O'Neill;Yandy Diaz;Anthony Volpe;Austin Wells;Colt Keith;Colton Cowser;Daulton Varsho;Evan Carter;Giancarlo Stanton;Jackson Holliday;Jake Burger;Jasson Dominguez;Kyle Manzardo;Lane Thomas;Parker Meadows;Paul Goldschmidt;Spencer Torkelson,105,20000,false
MLB - Futures,30003,type_national_league_mvp-sport_baseball-league_mlb,DraftKings,6tc7fk4zb1bk8nwyusmnkda19cav3h71,,MLB,National League MVP,13002,Shohei Ohtani;Juan Soto;Fernando Tatis Jr.;Mookie Betts;Bryce Harper;Kyle Tucker;Elly De La Cruz;Francisco Lindor;Freddie Freeman;Jackson Chourio;Jackson Merrill;Ketel Marte;Corbin Carroll;Matt Olson;Pete Alonso;Trea Turner;Austin Riley;Ronald Acuna Jr.;Manny Machado;Michael Harris II;William Contreras;Christian Yelich;Dansby Swanson;Ian Happ;Oneil Cruz;Willson Contreras;Blake Snell;Chris Sale;CJ Abrams;Luis Arraez;Michael Toglia;Tyler Fitzgerald;Pete Crow-Armstrong;Brenton Doyle;Ezequiel Tovar;Francisco Alvarez;Jurickson Profar;Masyn Winn;Nick Castellanos;Nolan Jones;Rhys Hoskins;Ryan McMahon;Xavier Edwards;Dylan Crews;Kyle Schwarber;Matt Chapman;Matt McLain;Max Muncy;Zack Wheeler;Josh Naylor;Marcell Ozuna;Mark Vientos;Seiya Suzuki;Teoscar Hernandez;Willy Adames;Ozzie Albies;James Wood;Paul Skenes,105,20000,false
Formula 1 - Futures,39999,type_belgian_grand_prix_2025_winner-sport_motorsports-league_formula_1,DraftKings,6bfxbk2axh326nt005vv5lyf6plsffxw,2025-07-25T14:30:00Z,Belgian Grand Prix 2025,Winner,13006,Lando Norris;Oscar Piastri;Max Verstappen;Charles Leclerc;George Russell;Lewis Hamilton;Andrea Kimi Antonelli;Yuki Tsunoda;Alexander Albon;Carlos Sainz Jr.;Liam Lawson;Fernando Alonso;Pierre Gasly;Esteban Ocon;Isack Hadjar;Lance Stroll;Nico Hulkenberg;Oliver Bearman;Gabriel Bortoleto;Jack Doohan,105,20000,false
Formula 1 - Futures,39999,type_belgian_grand_prix_2025_top_3_finish-sport_motorsports-league_formula_1,DraftKings,frd649d4orgihgb5zwebterjwsatz2zy,2025-07-25T14:30:00Z,Belgian Grand Prix 2025,Podium,13007,Lando Norris;Oscar Piastri;Max Verstappen;Charles Leclerc;George Russell;Lewis Hamilton;Andrea Kimi Antonelli;Yuki Tsunoda;Alexander Albon;Carlos Sainz Jr.;Liam Lawson;Fernando Alonso;Pierre Gasly;Esteban Ocon;Isack Hadjar;Lance Stroll;Nico Hulkenberg;Oliver Bearman;Gabriel Bortoleto;Jack Doohan,105,20000,false
